LAYER0,2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;37;38;39;40;41;42;47;48;49;51;52;53;54;55;56;59;60;65;66;76;79;86;87;88;92;94;109;112;116;117;118;119;121;122;123;127;128;129;130;131;132;133;136;137;140;141;143;145;147;149;151;156;157;161;163;169;171;174;175;178;179;181;183;193;198;206;207;211;CL_01;CL_11;CL_12;CL_14
LAYER1,1;35;36;63;64;105;107;113;124;125;126;142;144;146;148;150;160;162;164;165;166;167;168;170;182;186;187;190;191;200;201;204;205;208;209;212;216;CL_18
LAYER2,45;46;61;62;73;74;101;134;135;153;189
LAYER3,8;43;44;69;108;184;185;214
LAYER4,110;120;138;139;154;155;CL_15
LAYER5,50;57;58;70;83;98;99;102;103;202;203;CL_17
LAYER6,71;72;114;115
LAYER7,67;68;158;CL_16
LAYER8,81;82
