03,02,13;19,01-07;01-99;01-10,,01-16;01-89;01-57;01-28;01-44;01-43;01-19;01-69;01-10;01-38;01-103;01-95;01-50;01-15;01-01;01-68;01-17;01-48;01-88;01-25;01-54;01-67;01-08;01-20;01-70;01-91;01-27;01-53;01-58;01-98;01-12;01-92;01-18;01-11;01-99;01-60;01-102;01-37;01-26;01-61;01-106;01-07;01-06;01-39;01-96;01-78;01-21;01-63;01-62;01-107;01-42;01-72;01-46;01-09;01-47;01-97;01-108;01-66;01-45;01-52
03,03,145;147,01-38;01-74;01-75,01-74;01-75,01-53;01-98;01-92;01-43;01-102;01-37;01-99;01-74;01-38;01-48;01-107;01-88;01-97;01-75;01-108;01-54;01-45
03,04,205,01-25;01-104,,01-16;01-89;01-57;01-28;01-44;01-19;01-69;01-10;01-103;01-95;01-50;01-15;01-01;01-68;01-17;01-104;01-25;01-67;01-08;01-20;01-70;01-91;01-27;01-58;01-40;01-12;01-18;01-11;01-60;01-26;01-61;01-106;01-07;01-06;01-39;01-96;01-78;01-21;01-63;01-62;01-42;01-56;01-72;01-46;01-09;01-47;01-66;01-52
03,05,48;73;43;46;28;26;107;74;44;105,01-13;01-24;01-54;01-14;01-53;01-58;01-37;01-23;01-72;01-108;01-22,01-22,01-89;01-44;01-43;01-19;01-69;01-10;01-38;01-95;01-64;01-68;01-24;01-25;01-20;01-14;01-70;01-91;01-58;01-98;01-12;01-18;01-37;01-60;01-102;01-23;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-52;01-16;01-13;01-57;01-28;01-65;01-73;01-103;01-50;01-15;01-01;01-17;01-48;01-88;01-54;01-67;01-08;01-27;01-53;01-92;01-11;01-99;01-26;01-61;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-42;01-46;01-09;01-97;01-45
03,06,120;110,01-57;01-62;01-56,,01-16;01-89;01-57;01-28;01-44;01-19;01-69;01-10;01-103;01-95;01-50;01-15;01-01;01-68;01-17;01-104;01-25;01-67;01-08;01-20;01-70;01-91;01-27;01-58;01-40;01-12;01-18;01-11;01-60;01-26;01-61;01-106;01-07;01-06;01-39;01-96;01-78;01-21;01-63;01-62;01-42;01-56;01-72;01-46;01-09;01-47;01-66;01-52
03,07,197;177,01-90;01-100;01-41,01-41,01-36;01-05;01-101;01-49;01-79;01-90;01-04;01-41;01-109;01-81;01-30;01-82;01-55;01-100;01-77
03,08,116;122,01-63;01-60;01-45,,01-16;01-89;01-57;01-28;01-44;01-43;01-19;01-69;01-10;01-38;01-103;01-95;01-50;01-15;01-01;01-68;01-17;01-48;01-88;01-25;01-54;01-67;01-08;01-20;01-70;01-91;01-27;01-53;01-58;01-98;01-12;01-92;01-18;01-11;01-60;01-102;01-37;01-99;01-26;01-61;01-106;01-07;01-06;01-39;01-96;01-78;01-21;01-63;01-62;01-107;01-42;01-72;01-46;01-09;01-47;01-97;01-108;01-66;01-45;01-52
03,09,185,01-33;01-94,01-94,01-32;01-94;01-03;01-93;01-85;01-80;01-84;01-02;01-31;01-33;01-105
04,00,156;189;66;68;102;65;153;5;61;101;3;206;67;63,01-34;01-57;01-51;01-103;01-32;01-105;01-110;01-80;01-02;01-31;01-33;01-96;01-78;01-03,01-34;01-51,01-89;01-44;01-43;01-19;01-69;01-10;01-38;01-95;01-32;01-64;01-68;01-24;01-93;01-25;01-105;01-20;01-70;01-91;01-14;01-58;01-98;01-12;01-102;01-18;01-60;01-37;01-23;01-02;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-52;01-16;01-40;01-13;01-57;01-34;01-28;01-65;01-85;01-73;01-51;01-103;01-50;01-15;01-01;01-17;01-48;01-88;01-104;01-54;01-67;01-84;01-08;01-59;01-27;01-110;01-53;01-92;01-11;01-99;01-26;01-61;01-80;01-31;01-33;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-94;01-42;01-03;01-56;01-46;01-09;01-97;01-45
04,01,59;143;81;98;82;109;60;10;72,01-05;01-49;01-73;01-30;01-36;01-58;01-90;01-41;01-108;01-55,,01-89;01-05;01-44;01-49;01-43;01-19;01-69;01-10;01-38;01-95;01-64;01-68;01-24;01-25;01-04;01-20;01-36;01-70;01-91;01-14;01-58;01-98;01-12;01-101;01-102;01-18;01-60;01-37;01-23;01-74;01-41;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-55;01-100;01-52;01-16;01-40;01-13;01-57;01-28;01-65;01-79;01-73;01-103;01-50;01-109;01-15;01-01;01-17;01-48;01-88;01-104;01-75;01-30;01-54;01-67;01-08;01-77;01-59;01-27;01-53;01-92;01-11;01-99;01-90;01-26;01-61;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-42;01-56;01-46;01-09;01-97;01-81;01-82;01-45
04,02,138;139,01-01;01-28;01-71,01-71,01-89;01-44;01-43;01-19;01-69;01-10;01-38;01-95;01-64;01-68;01-24;01-25;01-20;01-70;01-91;01-14;01-58;01-98;01-12;01-102;01-18;01-60;01-37;01-23;01-71;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-52;01-16;01-40;01-13;01-57;01-28;01-65;01-73;01-103;01-50;01-15;01-01;01-17;01-48;01-88;01-104;01-54;01-67;01-08;01-59;01-27;01-53;01-92;01-11;01-99;01-26;01-61;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-42;01-56;01-46;01-09;01-97;01-45
04,03,29;21,01-15;01-11;01-100,,01-89;01-05;01-44;01-49;01-43;01-19;01-69;01-10;01-38;01-95;01-64;01-68;01-24;01-25;01-04;01-20;01-70;01-91;01-14;01-36;01-58;01-98;01-12;01-101;01-102;01-18;01-60;01-37;01-23;01-41;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-55;01-100;01-52;01-16;01-40;01-13;01-57;01-28;01-65;01-79;01-73;01-103;01-50;01-109;01-15;01-01;01-17;01-48;01-88;01-104;01-54;01-67;01-30;01-08;01-77;01-59;01-27;01-53;01-92;01-11;01-99;01-26;01-61;01-90;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-42;01-56;01-46;01-09;01-97;01-81;01-82;01-45
04,04,8,01-04;01-109,,01-36;01-05;01-101;01-49;01-79;01-90;01-109;01-41;01-55;01-81;01-30;01-82;01-04;01-100;01-77
04,05,23;17,01-101;01-12;01-09,,01-89;01-05;01-44;01-49;01-43;01-19;01-69;01-10;01-38;01-95;01-64;01-68;01-24;01-25;01-04;01-20;01-70;01-91;01-14;01-36;01-101;01-58;01-12;01-98;01-102;01-18;01-60;01-37;01-23;01-41;01-06;01-62;01-107;01-72;01-47;01-108;01-22;01-66;01-55;01-100;01-52;01-16;01-40;01-13;01-57;01-28;01-65;01-79;01-73;01-103;01-50;01-109;01-15;01-01;01-17;01-48;01-88;01-104;01-54;01-67;01-30;01-08;01-77;01-59;01-27;01-53;01-92;01-11;01-99;01-26;01-61;01-90;01-106;01-07;01-39;01-96;01-78;01-21;01-63;01-42;01-56;01-46;01-09;01-97;01-81;01-82;01-45
05,00,160;158;214;164;126;212;216;142;184;70;148;57;200;144;166;162;168;146;1;182;124;202;58;113;69;154;208;150;204;170,01-57;01-65;01-00;01-79;01-86;01-83;01-85;01-73;01-76;01-103;01-109;01-64;01-35;01-104;01-93;01-87;01-75;01-84;01-77;01-58;01-110;01-102;01-74;01-106;01-94;01-107;01-29;01-81;01-82;01-108,01-00;01-35;01-29,01-05;01-44;01-49;01-00;01-86;01-10;01-38;01-35;01-93;01-98;01-12;01-102;01-18;01-71;01-06;01-62;01-107;01-29;01-108;01-66;01-55;01-52;01-16;01-13;01-57;01-28;01-65;01-79;01-85;01-73;01-51;01-109;01-01;01-17;01-48;01-88;01-75;01-84;01-67;01-08;01-59;01-27;01-92;01-11;01-99;01-61;01-31;01-96;01-63;01-42;01-03;01-09;01-45;01-89;01-43;01-19;01-69;01-83;01-76;01-95;01-32;01-64;01-68;01-24;01-25;01-04;01-105;01-20;01-70;01-91;01-14;01-36;01-58;01-101;01-37;01-60;01-23;01-74;01-02;01-41;01-72;01-47;01-22;01-100;01-40;01-34;01-103;01-50;01-15;01-104;01-87;01-54;01-30;01-77;01-110;01-53;01-26;01-90;01-80;01-33;01-106;01-07;01-39;01-78;01-21;01-94;01-56;01-46;01-97;01-81;01-82
