0,CL_00,01-48;01-97;01-45,90;96,
0,CL_01,01-47;01-95;01-46,91;93,
0,CL_02,01-98;01-107;01-53;01-92,210;192;180,
0,CL_03,01-99;01-54;01-108;01-88,195;173;213,
0,CL_05,01-106;01-39;01-42,78;84,
0,CL_06,01-85;01-32;01-31;01-93;01-84;01-94;01-03;01-02;01-33;01-105;01-80,157;62;6;165;207;167;183;4;185;64,
0,CL_07,01-56;01-110;01-40,217;79,
0,CL_08,01-78;01-96;01-50,152;188,
0,CL_11,01-13;01-14;01-65;01-64;01-73;01-23;01-24,47;25;45;27;127;125,
0,CL_12,01-77;01-04;01-79,151;155,
0,CL_13,01-101;01-49;01-109;01-55,215;198;108;199,
0,CL_14,01-100;01-36;01-90,196;176,
1,CL_04,01-38;01-102;01-43,85;104;75;106;95;89,CL_00;CL_02;CL_03
1,CL_09,01-103,77,CL_05
1,CL_10,01-104,111;80,CL_07
1,CL_15,01-05;01-30;01-41;01-82;01-81,197;159;97;71;7;9;177;161,CL_13;CL_12;CL_14
2,CL_16,01-37,172;76;194,CL_04
