Connections,Side 1 dependency,Side 2 dependency,Collisions
136,PST01_01-21,PST01_01-70,PST01_01-22
137,PST01_01-01,PST01_01-70,<null>
138,PST01_01-28,PST01_01-71,PST01_01-29
139,PST01_01-01,PST01_01-71,<null>
140,PST01_01-28,PST01_01-72,PST01_01-29
141,PST01_01-01,PST01_01-72,<null>
142,PST01_01-00,PST01_01-73,<null>
143,PST01_01-55,PST01_01-73,<null>
144,PST01_01-00,PST01_01-74,<null>
145,PST01_01-38,PST01_01-74,<null>
146,PST01_01-00,PST01_01-75,<null>
147,PST01_01-38,PST01_01-75,<null>
148,PST01_01-00,PST01_01-76,<null>
149,PST01_01-39,PST01_01-76,<null>
150,PST01_01-00,PST01_01-77,<null>
151,PST01_01-04,PST01_01-77,PST01_01-49
152,PST01_01-50,PST01_01-78,PST01_01-56
153,PST01_01-51,PST01_01-78,PST01_01-35
154,PST01_01-00,PST01_01-79,<null>
155,PST01_01-04,PST01_01-79,PST01_01-49
156,PST01_01-03,PST01_01-80,PST01_01-00
157,PST01_01-02,PST01_01-80,PST01_01-32
158,PST01_01-00,PST01_01-81,<null>
159,PST01_01-30,PST01_01-81,PST01_01-41
160,PST01_01-00,PST01_01-82,<null>
161,PST01_01-30,PST01_01-82,PST01_01-41
162,PST01_01-00,PST01_01-83,<null>
163,PST01_01-40,PST01_01-83,<null>
164,PST01_01-00,PST01_01-84,<null>
165,PST01_01-32,PST01_01-84,PST01_01-31
166,PST01_01-00,PST01_01-85,<null>
167,PST01_01-32,PST01_01-85,PST01_01-31
168,PST01_01-00,PST01_01-86,<null>
169,PST01_01-40,PST01_01-86,<null>
170,PST01_01-00,PST01_01-87,<null>
171,PST01_01-39,PST01_01-87,<null>
172,PST01_01-37,PST01_01-88,PST01_01-41
173,PST01_01-54,PST01_01-88,PST01_01-53
174,PST01_01-42,PST01_01-89,<null>
175,PST01_01-01,PST01_01-89,<null>
176,PST01_01-36,PST01_01-90,PST01_01-49
177,PST01_01-41,PST01_01-90,PST01_01-37
178,PST01_01-42,PST01_01-91,<null>
179,PST01_01-01,PST01_01-91,<null>
180,PST01_01-53,PST01_01-92,PST01_01-54
181,PST01_01-44,PST01_01-92,PST01_01-29
182,PST01_01-00,PST01_01-93,<null>
183,PST01_01-33,PST01_01-93,PST01_01-56
184,PST01_01-00,PST01_01-94,<null>
185,PST01_01-33,PST01_01-94,PST01_01-56
186,PST01_01-43,PST01_01-95,<null>
187,PST01_01-01,PST01_01-95,<null>
188,PST01_01-50,PST01_01-96,PST01_01-56
189,PST01_01-51,PST01_01-96,PST01_01-35
190,PST01_01-43,PST01_01-97,<null>
191,PST01_01-01,PST01_01-97,<null>
192,PST01_01-53,PST01_01-98,PST01_01-54
193,PST01_01-44,PST01_01-98,PST01_01-29
